pilotRank,queueId,priority,score,workstream,productSignal,authoritySignal,normalizedChars,canonicalGroupId,groupSize,sourcePath,combinedPath
1,ingest-1781569954375-5ms,P1_CORE_RA_EVIDENCE,318,submission_authority,Unclassified,MFDS/domestic,114088,ef83af326306,7,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. SW (Rev)/Software Validation Report_Rev.1_(A-TCF-10-131).pdf,raw/sources/_preprocessed/RA/_combined/b637a0efcbd1/Software Validation Report_Rev.1_(A-TCF-10-131)__b637a0efcbd1_combined.txt
2,ingest-1781569954419-17hc,P1_CORE_RA_EVIDENCE,318,submission_authority,HnX,CE/MDR,30951,ebbb66c026a8,2,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/7. A-CLA-HNXR1_Cybersecurity Labeling.pdf,raw/sources/_preprocessed/DHF (인허가)/_combined/7fc508b5182e/7. A-CLA-HNXR1_Cybersecurity Labeling__7fc508b5182e_combined.txt
3,ingest-1781569954420-18fz,P1_CORE_RA_EVIDENCE,318,submission_authority,HnX,general,25728,f646e3d6f5dc,2,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/7. A-CLA-HNXR1_Cybersecurity Labeling.docx,raw/sources/_preprocessed/DHF (인허가)/_combined/ba2aa1691655/7. A-CLA-HNXR1_Cybersecurity Labeling__ba2aa1691655_combined.txt
4,ingest-1781569954421-19k2,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,FDA,33309,52b20a4246db,15,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/07_Software Validation/IEC 62304-1 기반.docx",raw/sources/_preprocessed/DHF (인허가)/_combined/faf94559c21e/IEC 62304-1 기반__faf94559c21e_combined.txt
5,ingest-1781569954417-15lb,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,316446,8c0fe2b0c90b,12,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/14_신뢰성/EMCD_SAFETY_성적서/CB_Safety/DRMCBL1909-0016_Abyz_HAD1717MC_IEC 60601-1_1-6.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/12a7d8f0ab6c/DRMCBL1909-0016_Abyz_HAD1717MC_IEC 60601-1_1-6__12a7d8f0ab6c_combined.txt
6,ingest-1781569954419-180a,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,52057,7e91230db2c8,12,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/규격 Test report/[HAD1717MC] IEC 60601-1-2 Test report (KOLAS).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/a06adce6d21d/[HAD1717MC] IEC 60601-1-2 Test report (KOLAS)__a06adce6d21d_combined.txt
7,ingest-1781569954421-19ao,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,FDA,33449,2c7795dc770d,11,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/07_Software Validation/IEC 62304-1 기반.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/ebe528be827d/IEC 62304-1 기반__ebe528be827d_combined.txt
8,ingest-1781569954418-16s7,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,1921,2da6cdc873d1,11,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/규격 Test report/[HAD1717MC] IEC 60601-1 CB Certificate.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/580d95f58931/[HAD1717MC] IEC 60601-1 CB Certificate__580d95f58931_combined.txt
9,ingest-1781569954419-17eo,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,972938,fe8241acb572,10,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/2. [A1417MCW, A1717MCW, F1417MCW] IEC 60601-1 CB Test report (3.1).pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/7b2a2aa5412e/2. [A1417MCW, A1717MCW, F1417MCW] IEC 60601-1 CB Test report (3.1)__7b2a2aa5412e_combined.txt"
10,ingest-1781569954421-19bs,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,1906,4872416d85f5,10,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/1. [A1417MCW, A1717MCW, F1417MCW] IEC 60601-1 CB Certificate (3.1).pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/edbd04ec5014/1. [A1417MCW, A1717MCW, F1417MCW] IEC 60601-1 CB Certificate (3.1)__edbd04ec5014_combined.txt"
11,ingest-1781569954417-15cx,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,114474,b44cc5c5294d,7,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/4. [A1417MCW, F1417MCW] EN 60601-1-2 Test report (4.1).pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/066e17eda544/4. [A1417MCW, F1417MCW] EN 60601-1-2 Test report (4.1)__066e17eda544_combined.txt"
12,ingest-1781569954420-18xi,P1_CORE_RA_EVIDENCE,316,submission_authority,HAD/A/F 1417-1717,general,104565,a249309029c9,7,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/3. [A1717MCW] EN 60601-1-2 Test report (4.1).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/d6aeda83abba/3. [A1717MCW] EN 60601-1-2 Test report (4.1)__d6aeda83abba_combined.txt
13,ingest-1781569954420-18d6,P1_CORE_RA_EVIDENCE,316,submission_authority,CYAN,MFDS/domestic,108634,e05eae6ceb5a,6,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. 소프트웨어 적합성/2.4 A-SVR-CYN_Software Validation Report(Rev.2).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/b5395e6f6eac/2.4 A-SVR-CYN_Software Validation Report(Rev.2)__b5395e6f6eac_combined.txt
